(openpowerlifting-py3.10) ➜  openpowerlifting git:(main) ✗ python trainingstarcoder.py --max_steps 5000 --resume_from_checkpoint finetune_starcoder2/checkpoint-1000

^[[A^[[Atrainable params: 151369728 || all params: 1591200768 || trainable%: 9.5129245186488
/home/ubuntu/.cache/pypoetry/virtualenvs/openpowerlifting-KFLyni6a-py3.10/lib/python3.10/site-packages/huggingface_hub/utils/_deprecation.py:100: FutureWarning: Deprecated argument(s) used in '__init__': max_seq_length, dataset_text_field. Will not be supported from version '1.0.0'.

Deprecated positional argument(s) used in SFTTrainer, please use the SFTConfig to set these arguments instead.
  warnings.warn(message, FutureWarning)
/home/ubuntu/.cache/pypoetry/virtualenvs/openpowerlifting-KFLyni6a-py3.10/lib/python3.10/site-packages/transformers/training_args.py:1965: FutureWarning: `--push_to_hub_token` is deprecated and will be removed in version 5 of 🤗 Transformers. Use `--hub_token` instead.
  warnings.warn(
/home/ubuntu/.cache/pypoetry/virtualenvs/openpowerlifting-KFLyni6a-py3.10/lib/python3.10/site-packages/transformers/training_args.py:1965: FutureWarning: `--push_to_hub_token` is deprecated and will be removed in version 5 of 🤗 Transformers. Use `--hub_token` instead.
  warnings.warn(
/home/ubuntu/.cache/pypoetry/virtualenvs/openpowerlifting-KFLyni6a-py3.10/lib/python3.10/site-packages/trl/trainer/sft_trainer.py:269: UserWarning: You passed a `max_seq_length` argument to the SFTTrainer, the value you passed will override the one in the `SFTConfig`.
  warnings.warn(
/home/ubuntu/.cache/pypoetry/virtualenvs/openpowerlifting-KFLyni6a-py3.10/lib/python3.10/site-packages/trl/trainer/sft_trainer.py:307: UserWarning: You passed a `dataset_text_field` argument to the SFTTrainer, the value you passed will override the one in the `SFTConfig`.
  warnings.warn(
Training...
wandb: (1) Create a W&B account
wandb: (2) Use an existing W&B account
wandb: (3) Don't visualize my results
wandb: Enter your choice: 3
wandb: WARNING Invalid choice
wandb: Enter your choice: 3
wandb: You chose "Don't visualize my results"
wandb: Tracking run with wandb version 0.17.1
wandb: W&B syncing is set to `offline` in this directory.  
wandb: Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
/home/ubuntu/.cache/pypoetry/virtualenvs/openpowerlifting-KFLyni6a-py3.10/lib/python3.10/site-packages/huggingface_hub/file_download.py:1132: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
wandb: WARNING URL not available in offline run
{'loss': 2.9314, 'grad_norm': 0.3426077663898468, 'learning_rate': 2e-05, 'epoch': 0.004}
{'loss': 1.476, 'grad_norm': 0.902545154094696, 'learning_rate': 0.00016680181159555013, 'epoch': 0.564}
{'loss': 1.4098, 'grad_norm': 2.748033285140991, 'learning_rate': 0.0001663233397412404, 'epoch': 0.568}
{'loss': 1.5587, 'grad_norm': 2.057060480117798, 'learning_rate': 0.00016584214159420463, 'epoch': 0.572}
{'loss': 1.2305, 'grad_norm': 1.0173211097717285, 'learning_rate': 0.00016535823693461394, 'epoch': 0.576}
{'loss': 1.5984, 'grad_norm': 0.8315314650535583, 'learning_rate': 0.0001648716456538936, 'epoch': 0.58}
{'loss': 1.4016, 'grad_norm': 2.0302441120147705, 'learning_rate': 0.00016438238775390526, 'epoch': 0.584}
{'loss': 1.5623, 'grad_norm': 1.3281930685043335, 'learning_rate': 0.00016389048334612493, 'epoch': 0.588}
{'loss': 1.2105, 'grad_norm': 2.5813257694244385, 'learning_rate': 0.0001633959526508162, 'epoch': 0.592}
{'loss': 1.293, 'grad_norm': 2.606473684310913, 'learning_rate': 0.00016289881599619889, 'epoch': 0.596}
{'loss': 1.4706, 'grad_norm': 2.6753194332122803, 'learning_rate': 0.0001623990938176138, 'epoch': 0.6}
/home/ubuntu/.cache/pypoetry/virtualenvs/openpowerlifting-KFLyni6a-py3.10/lib/python3.10/site-packages/huggingface_hub/file_download.py:1132: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
{'loss': 1.3814, 'grad_norm': 1.7082539796829224, 'learning_rate': 0.00016189680665668242, 'epoch': 0.604}
{'loss': 1.0857, 'grad_norm': 2.3458569049835205, 'learning_rate': 0.0001613919751604626, 'epoch': 0.608}
{'loss': 1.4851, 'grad_norm': 1.2993898391723633, 'learning_rate': 0.00016088462008059982, 'epoch': 0.612}
{'loss': 1.617, 'grad_norm': 2.113675832748413, 'learning_rate': 0.00016037476227247427, 'epoch': 0.616}
{'loss': 1.3041, 'grad_norm': 1.4251325130462646, 'learning_rate': 0.00015986242269434354, 'epoch': 0.62}
{'loss': 1.3016, 'grad_norm': 1.1263073682785034, 'learning_rate': 0.00015934762240648085, 'epoch': 0.624}
{'loss': 1.3004, 'grad_norm': 1.232686996459961, 'learning_rate': 0.00015883038257030976, 'epoch': 0.628}
{'loss': 1.3501, 'grad_norm': 3.882359743118286, 'learning_rate': 0.0001583107244475341, 'epoch': 0.632}
{'loss': 1.3114, 'grad_norm': 1.6208432912826538, 'learning_rate': 0.0001577886693992639, 'epoch': 0.636}
{'loss': 1.1897, 'grad_norm': 1.7327466011047363, 'learning_rate': 0.00015726423888513737, 'epoch': 0.64}
{'loss': 1.291, 'grad_norm': 3.1010141372680664, 'learning_rate': 0.000156737454462439, 'epoch': 0.644}
{'loss': 1.4081, 'grad_norm': 3.1873507499694824, 'learning_rate': 0.00015620833778521307, 'epoch': 0.648}
{'loss': 1.4853, 'grad_norm': 1.6985790729522705, 'learning_rate': 0.00015567691060337378, 'epoch': 0.652}
{'loss': 1.2898, 'grad_norm': 1.6038178205490112, 'learning_rate': 0.00015514319476181117, 'epoch': 0.656}
{'loss': 1.2127, 'grad_norm': 0.5976592302322388, 'learning_rate': 0.000154607212199493, 'epoch': 0.66}
{'loss': 1.5558, 'grad_norm': 3.829710006713867, 'learning_rate': 0.00015406898494856313, 'epoch': 0.664}
{'loss': 1.5769, 'grad_norm': 1.7985687255859375, 'learning_rate': 0.00015352853513343572, 'epoch': 0.668}
{'loss': 1.5362, 'grad_norm': 1.4667543172836304, 'learning_rate': 0.00015298588496988596, 'epoch': 0.672}
{'loss': 1.4222, 'grad_norm': 2.4698691368103027, 'learning_rate': 0.0001524410567641366, 'epoch': 0.676}
{'loss': 1.5594, 'grad_norm': 1.7262383699417114, 'learning_rate': 0.0001518940729119412, 'epoch': 0.68}
{'loss': 1.2259, 'grad_norm': 1.224015235900879, 'learning_rate': 0.0001513449558976636, 'epoch': 0.684}
{'loss': 1.2538, 'grad_norm': 0.7717073559761047, 'learning_rate': 0.00015079372829335347, 'epoch': 0.688}
{'loss': 1.5336, 'grad_norm': 0.5411852598190308, 'learning_rate': 0.00015024041275781862, 'epoch': 0.692}
{'loss': 1.2816, 'grad_norm': 1.2140952348709106, 'learning_rate': 0.00014968503203569356, 'epoch': 0.696}
{'loss': 1.3269, 'grad_norm': 1.186733365058899, 'learning_rate': 0.00014912760895650445, 'epoch': 0.7}
{'loss': 1.463, 'grad_norm': 0.9411900043487549, 'learning_rate': 0.00014856816643373083, 'epoch': 0.704}
{'loss': 1.3961, 'grad_norm': 1.1804002523422241, 'learning_rate': 0.00014800672746386365, 'epoch': 0.708}
{'loss': 1.3045, 'grad_norm': 1.173919677734375, 'learning_rate': 0.00014744331512545988, 'epoch': 0.712}
{'loss': 1.4382, 'grad_norm': 0.8345919251441956, 'learning_rate': 0.00014687795257819407, 'epoch': 0.716}
{'loss': 1.351, 'grad_norm': 3.9308226108551025, 'learning_rate': 0.00014631066306190614, 'epoch': 0.72}
{'loss': 1.3262, 'grad_norm': 0.9781283736228943, 'learning_rate': 0.0001457414698956462, 'epoch': 0.724}
{'loss': 1.2942, 'grad_norm': 2.5757157802581787, 'learning_rate': 0.00014517039647671593, 'epoch': 0.728}
{'loss': 1.4895, 'grad_norm': 1.083965539932251, 'learning_rate': 0.00014459746627970685, 'epoch': 0.732}
{'loss': 1.3182, 'grad_norm': 0.7997762560844421, 'learning_rate': 0.00014402270285553535, 'epoch': 0.736}
{'loss': 1.2634, 'grad_norm': 2.4980828762054443, 'learning_rate': 0.00014344612983047459, 'epoch': 0.74}
{'loss': 1.2662, 'grad_norm': 1.829947829246521, 'learning_rate': 0.00014286777090518333, 'epoch': 0.744}
{'loss': 1.3991, 'grad_norm': 0.8795732855796814, 'learning_rate': 0.00014228764985373175, 'epoch': 0.748}
{'loss': 1.403, 'grad_norm': 0.5093012452125549, 'learning_rate': 0.00014170579052262406, 'epoch': 0.752}
